"ลำดับที่","ชื่อสินค้า","ราคา(บาท)","หน่วย"
164,"กระเทียมโทน","130-150","กิโลกรัม"
165,"ผักหวานบ้าน","80-120","กิโลกรัม"
166,"สะระแหน่","100-150","กิโลกรัม"
167,"มะกอกป่า","40-60","กิโลกรัม"
168,"กระชายหัว","100-150","กิโลกรัม"
169,"เห็ดฟาง – เบอร์เล็ก","40-50","กิโลกรัม"
170,"เห็ดฟาง – เบอร์กลาง","60-80","กิโลกรัม"
171,"เห็ดนางฟ้าภูฐาน","80-90","กิโลกรัม"
172,"เห็ดนางฟ้าน้ำตาล","80-90","กิโลกรัม"
173,"ฟักอ่อน","12-14","กิโลกรัม"
174,"กระจับ","30-30","กิโลกรัม"
175,"ขมิ้นขาว","90-130","กิโลกรัม"
176,"ข่าอ่อน","65-70","กิโลกรัม"
177,"ใบบัวบก","30-40","กิโลกรัม"
178,"ลูกมะกรูด คละขนาด","30-40","กิโลกรัม"
179,"ข่าแก่","35-40","กิโลกรัม"
180,"ขิงอ่อน","60-70","กิโลกรัม"
181,"ขมิ้นเหลือง","50-60","กิโลกรัม"
182,"กวางตุ้งไต้หวัน","16-26","กิโลกรัม"
183,"ต้นหอมญี่ปุ่น ใบสั้น","100-120","กิโลกรัม"
184,"เห็ดฟาง – เบอร์ใหญ่","100-150","กิโลกรัม"
185,"ใบมะกรูด","40-50","กิโลกรัม"
186,"กระเทียมไทย – เบอร์ใหญ่","100-110","กิโลกรัม"
187,"กระเทียมจีน – เบอร์ใหญ่","70-80","กิโลกรัม"
188,"เห็ดหอมสด ขนาดกลาง","160-170","กิโลกรัม"
189,"เห็ดหอมสด ขนาดเล็ก","160-170","กิโลกรัม"
190,"เผือกหอม – เบอร์เล็ก","40-43","กิโลกรัม"
191,"ผักชีลาว","40-60","กิโลกรัม"
192,"ชะอม","80-100","กิโลกรัม"
193,"เบบี้กวางตุ้งไต้หวัน","80-90","กิโลกรัม"
194,"กะหล่ำปลีพันธุ์เบา (จีน) ไม่ลอก","26-40","กิโลกรัม"
195,"มะเขือเทศสีดา","35-40","กิโลกรัม"
196,"มันม่วง ขนาดใหญ่","20-24","กิโลกรัม"
197,"มะเขือเทศสีดา สีเขียวปนชมพู","30-35","กิโลกรัม"
198,"มันเทศ – เบอร์ใหญ่","25-32","กิโลกรัม"
199,"มันไข่ เหลือง ขนาดเล็ก","13-16","กิโลกรัม"
200,"มันม่วง ขนาดเล็ก","12-13","กิโลกรัม"
201,"มันไข่ ส้ม ขนาดใหญ่","18-20","กิโลกรัม"
202,"มันไข่ส้ม","13-24","กิโลกรัม"
203,"มันไข่ ส้ม ขนาดเล็ก","15-17","กิโลกรัม"
204,"ข้าวโพดอ่อน","40-50","กิโลกรัม"
205,"มะเขือเทศท้อแดง","35-40","กิโลกรัม"
206,"ผักกาดแก้ว","70-80","กิโลกรัม"
207,"พริกชี้ฟ้าแดง (สดแดง)","60-70","กิโลกรัม"
208,"กะหล่ำปลีพันธุ์หนัก (จีน) ลอก","20-25","กิโลกรัม"
209,"มะเขือพวง (ไม่เด็ด)","60-70","กิโลกรัม"
210,"เห็ดหอมสด","160-190","กิโลกรัม"
211,"ว่านหางจระเข้","0-0",""
212,"เห็ดหอมสด ขนาดใหญ่","170-190","กิโลกรัม"
213,"แตงกวาไทย ขนาดเล็ก","18-20","กิโลกรัม"
214,"ข้าวโพดหวาน ปอกเปลือก ขนาดเล็ก","18-20","กิโลกรัม"
215,"ข้าวโพดหวาน ปอกเปลือก ขนาดใหญ่","25-30","กิโลกรัม"
216,"ฟักทองญี่ปุ่น","60-70","กิโลกรัม"
217,"มะพร้าวทึนทึก","33-40","กิโลกรัม"
218,"มะพร้าวแก่","28-40","ต่อชิ้น/ตัว/หัว/ลูก"
219,"ฟักทองเกษตรลาย – เบอร์กลาง","18-20","กิโลกรัม"
220,"ฟักทองเกษตร ทองอำไพ – เบอร์ใหญ่","25-30","กิโลกรัม"
221,"ฟักทองเกษตรลาย – เบอร์ใหญ่","25-30","กิโลกรัม"
222,"ฟักทองเกษตร ศิลาทอง – เบอร์ใหญ่","25-30","กิโลกรัม"
223,"ฟักทองเกษตร ศรีเมือง – เบอร์ใหญ่","25-30","กิโลกรัม"
224,"ฟักทองเกษตร ทองอำไพ – เบอร์เล็ก","12-15","กิโลกรัม"
225,"ฟักทองคางคก – เบอร์เล็ก","15-15","กิโลกรัม"
226,"ฟักทอง คละขนาด","13-20","กิโลกรัม"
227,"ฟักทองเกษตร ทองอำไพ – เบอร์กลาง","18-20","กิโลกรัม"
228,"ฟักทองคางคก – เบอร์กลาง","18-20","กิโลกรัม"
229,"ฟักทองคางคก – เบอร์ใหญ่","25-30","กิโลกรัม"
230,"แตงกวาไทย ขนาดกลาง","10-16","กิโลกรัม"
231,"มะขามเปียกแกะเม็ด (ไม่มีก้าน)","100-120","กิโลกรัม"
232,"มะขามเปียก แกะเม็ด ติดก้าน","90-100","กิโลกรัม"
233,"ฟักทองญี่ปุ่น ขนาดกลาง","70-80","กิโลกรัม"
234,"มะขามเปียก ติดเม็ด","70-80","กิโลกรัม"
235,"บรอกโคลี หัวเล็ก","70-70","กิโลกรัม"
236,"บร็อคโคลี่","70-75","กิโลกรัม"
237,"บรอกโคลี หัวใหญ่","70-75","กิโลกรัม"
238,"เบบี้แคร์รอต","100-120","กิโลกรัม"
239,"กระชายซอย","120-140","กิโลกรัม"
240,"มันต่อเผือก","14-16","กิโลกรัม"
241,"มันญี่ปุ่น","70-80","กิโลกรัม"
242,"แครอท","20-30","กิโลกรัม"
243,"เห็ดฟาง คละขนาด","70-160","กิโลกรัม"
244,"ผักกระเฉด – มัด (10 กำใหญ่)","8-10","กิโลกรัม"
245,"บวบเหลี่ยม","18-24","กิโลกรัม"
246,"หัวไชเท้า ขนาดใหญ่","25-26","กิโลกรัม"
247,"พริกยักษ์ คละสี","120-140","กิโลกรัม"
248,"ใบเหลียง","100-150","กิโลกรัม"
249,"มะระขี้นก","25-30","กิโลกรัม"
250,"พริกชี้ฟ้าเหลือง ติดก้าน","80-160","กิโลกรัม"
251,"บวบงู","40-50","กิโลกรัม"
252,"คะน้าต้นอ้วน / คะน้าเห็ดหอม","16-20","กิโลกรัม"
253,"หัวไชเท้า ขนาดเล็ก","20-23","กิโลกรัม"
254,"ถั่วแระ – มัด ( 5 กก )","100-120","กิโลกรัม"
255,"หัวไชเท้า ขนาดกลาง","20-25","กิโลกรัม"
256,"หอมหัวใหญ่","28-40","กิโลกรัม"
257,"หอมแขก","28-50","กิโลกรัม"
258,"หอมแดง","75-90","กิโลกรัม"
259,"หัวปลี","8-12","กิโลกรัม"
260,"ดอกขจร","60-90","กิโลกรัม"
261,"กระเจี๊ยบเขียว","30-50","กิโลกรัม"
262,"ผักบุ้งไทย(ผักบุ้งนา) – มัด (10 กำ)","14-16","กิโลกรัม"
263,"พริกไทยอ่อน","130-140","กิโลกรัม"
264,"หน่อไม้ฝรั่ง B (ดอกตูม)","120-140","กิโลกรัม"
265,"ดอกโสน","50-100","กิโลกรัม"
266,"ผักสลิด","60-90","กิโลกรัม"
267,"หน่อไม้ฝรั่ง เบอร์ Jumbo","190-200","กิโลกรัม"
268,"กระเทียมไทย มัดจุก","100-130","กิโลกรัม"
269,"ปวยเล้ง","120-150","กิโลกรัม"
270,"มะเขือเทศท้อเขียว","18-20","กิโลกรัม"
271,"รากผักชี ล้าง ตัดแต่ง","100-120","กิโลกรัม"
272,"รากผักชี","90-100","กิโลกรัม"
273,"มันแกว ขนาดใหญ่","16-17","กิโลกรัม"
274,"มันแกว – เบอร์กลาง","12-13","กิโลกรัม"
275,"มันแกว – เบอร์เล็ก","8-10","กิโลกรัม"
276,"แตงกวากลาง","10-20","กิโลกรัม"
277,"ข้าวโพดข้าวเหนียว – เบอร์กลาง","14-16","กิโลกรัม"
278,"ข้าวโพดหวาน – เบอร์เล็ก","8-10","กิโลกรัม"
279,"พริกหวานเขียว","90-100","กิโลกรัม"
280,"กรีนโอ๊ค","100-120","กิโลกรัม"
281,"กะหล่ำดอกจีน","55-60","กิโลกรัม"
282,"คอส","70-100","กิโลกรัม"
283,"ผักกาดขาวปลี / ไชลุ้ย (จีน) ไม่ลอก","12-13","กิโลกรัม"
284,"พริกหวานแดง","100-110","กิโลกรัม"
285,"กะหล่ำดอกเจดีย์","60-70","กิโลกรัม"
286,"กะหล่ำปลีพันธุ์เบา (จีน) ลอก","20-25","กิโลกรัม"
287,"ผักกาดขาว (ลุ้ย แต่งผล)","20-25","กิโลกรัม"
288,"ถั่วพู","40-80","กิโลกรัม"
289,"มะนาว 600 ลูก/กระสอบ","80-100","กระสอบ"
290,"ข้าวโพดหวาน – เบอร์กลาง","10-13","กิโลกรัม"
291,"มะนาว 500 ลูก/กระสอบ","120-150","กระสอบ"
292,"ข้าวโพดข้าวเหนียว – เบอร์ใหญ่","16-18","กิโลกรัม"
293,"คะน้ายอด","20-24","กิโลกรัม"
294,"หน่อไม้หวาน","40-45","กิโลกรัม"
295,"บวบหอม","24-30","กิโลกรัม"
296,"ข้าวโพดข้าวเหนียว ปอกเปลือก คละขนาด","0-0","กิโลกรัม"
297,"บัตเตอร์เฮด","80-100","กิโลกรัม"
298,"มะเขือเทศราชินี","80-100","กิโลกรัม"
299,"เห็ดโคนญี่ปุ่น","60-70","กิโลกรัม"
300,"แรดิช","80-100","กิโลกรัม"
301,"มะเขือเทศท้อแดงปนเขียว","25-30","กิโลกรัม"
302,"เห็ดเข็มทอง","40-55","กิโลกรัม"
303,"เห็ดโคนหิมะ","70-75","กิโลกรัม"
304,"แตงร้าน ขนาดกลาง","18-20","กิโลกรัม"
305,"ผักชีฝรั่ง","40-60","กิโลกรัม"
306,"พริกขี้หนูสวน (เม็ดใหญ่-เม็ดเล็ก)","70-140","กิโลกรัม"
307,"ผักบุ้งจีน","28-35","ถุง"
308,"พริกขี้หนูสวนหอม เด็ดก้าน","100-200","กิโลกรัม"
309,"ต้นหอม","150-170","กิโลกรัม"
310,"พริกขี้หนูแดง (ซุปเปอร์ฮ็อต)","40-50","กิโลกรัม"
311,"คะน้าต้น","16-20","กิโลกรัม"
312,"พริกขี้หนูเขียว ( จินดา)","40-45","กิโลกรัม"
313,"ใบแมงลัก","40-60","กิโลกรัม"
314,"กะหล่ำปลี (ไม่แต่งผล)","10-12","กิโลกรัม"
315,"พริกขี้หนูเขียว (ซุปเปอร์ฮ็อต)","40-45","กิโลกรัม"
316,"แตงร้าน","18-20","กิโลกรัม"
317,"มะระจีน","24-32","กิโลกรัม"
318,"กะหล่ำปลีพันธุ์เบา (ไทย) ไม่ลอก","10-13","กิโลกรัม"
319,"กวางตุ้งดอก","20-32","กิโลกรัม"
320,"พริกขี้หนูแดง ( จินดา)","40-50","กิโลกรัม"
321,"กวางตุ้ง","16-20","กิโลกรัม"
322,"แตงกวาอ่อน","25-30","กิโลกรัม"
323,"มะเขือเปราะ","25-30","กิโลกรัม"
324,"ผักปลัง","70-80","ถุง"
325,"ผักกาดขาวปลี / ไชลุ้ย (จีน) ลอก","20-25","ถุง"
326,"มะนาวตาฮิติ","100-150","กระสอบ"
327,"กะหล่ำดาว","80-100","ถุง"
328,"ผักบุ้งน้ำ – มัด (25 กำ)","14-16","ถุง"
329,"กะหล่ำปลีพันธุ์หนัก (จีน) ไม่ลอก","18-23","ถุุง"
330,"เห็ดชิเมจิน้ำตาล","70-80","กิโลกรัม"
331,"ฟักข้าว","10-12","กิโลกรัม"
332,"สะตอ (ร้อยฝัก)","60-80","มัด"
333,"พริกขี้หนูสวน เด็ดก้าน","100-200","กิโลกรัม"
334,"เห็ดนางฟ้า","60-80","กิโลกรัม"
335,"กะหล่ำปลีพันธุ์เบา (ไทย) ลอก","20-25","กิโลกรัม"
336,"กะหล่ำดอก","45-55","กิโลกรัม"
337,"ผักกาดขาว (ลุ้ยไม่แต่งผล)","9-11","กิโลกรัม"
338,"ถั่วฝักยาว","30-40","กิโลกรัม"
339,"คึ่นช่าย (ตั้งโอ๋ไทย)","120-160","กิโลกรัม"
340,"ผักชีไทย","80-130","กิโลกรัม"
341,"ใบกระเพรา","30-40","กิโลกรัม"
342,"พริกขี้หนูสวนหอม ติดก้าน","70-140","กิโลกรัม"
343,"กะหล่ำปลี (แต่งผล)","20-25","กิโลกรัม"
344,"ถั่วลิสงต้ม","65-75","กิโลกรัม"
345,"ถั่วลิสงดิบ","50-55","กิโลกรัม"
346,"น้ำมะนาวแท้","50-70","ขวด"
347,"ข้าวโพดข้าวเหนียว – เบอร์เล็ก","11-13","กิโลกรัม"
348,"มันเทียน","13-16","กิโลกรัม"
349,"ถั่วลันเตาแบน","90-120","กิโลกรัม"
